"Table A2P - Number of households owed a prevention duty by reason for loss, or threat of loss, of last settled homeEngland, October to December 2021",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
E07000208,Epsom & Ewell,,,27,,16,,0,0,0,0,1,,1,11,1,0,1,1,,2,5,0,3,0,,1,0,1,0,,0,0,0,0,,0,0,0
E07000036,Erewash,,,65,,38,,1,0,2,0,0,,1,27,0,0,0,7,,2,12,3,4,1,,1,1,0,0,,2,1,1,0,,0,0,2
E07000041,Exeter,,,113,,49,,2,0,3,0,2,,4,33,0,0,1,4,,4,18,4,11,1,,3,0,0,3,,8,1,6,1,,3,0,12
E07000087,Fareham,,,44,,23,,0,0,0,0,1,,1,17,0,0,0,4,,1,13,1,1,0,,0,0,0,0,,0,0,0,0,,0,0,5
E07000010,Fenland,,,38,,17,,2,0,0,0,1,,0,12,0,0,0,2,,5,8,0,2,0,,0,0,0,0,,1,0,1,0,,1,0,4
E07000112,Folkestone & Hythe,,,36,,20,,1,0,0,0,2,,0,12,0,0,0,5,,1,4,1,0,0,,0,0,0,0,,0,0,0,0,,7,0,3
E07000080,Forest of Dean,,,38,,17,,0,1,0,2,1,,0,10,1,0,0,2,,0,11,6,2,0,,1,0,0,1,,0,0,0,0,,0,0,1
E07000119,Fylde,,,33,,23,,1,1,0,1,0,,0,12,0,0,0,8,,4,2,0,0,0,,2,1,1,0,,0,0,0,0,,0,0,2
E08000037,Gateshead,,,282,,55,,6,0,3,0,2,,1,33,1,0,0,9,,2,46,17,71,17,,13,2,5,6,,13,1,3,9,,9,14,25
E07000173,Gedling,,,35,,18,,0,0,1,0,1,,0,14,0,0,0,2,,0,6,4,1,1,,2,1,1,0,,0,0,0,0,,0,0,3
E07000081,Gloucester,,,108,,48,,2,0,1,0,2,,2,31,0,0,0,10,,5,15,4,16,1,,0,0,0,0,,5,0,1,4,,8,1,5
E07000088,Gosport,,,64,,28,,1,0,0,0,2,,0,22,0,0,0,3,,0,17,3,3,1,,1,1,0,0,,3,0,0,3,,3,0,5
E07000109,Gravesham,,,69,,21,,2,0,0,0,6,,0,11,0,0,0,2,,3,19,4,8,1,,9,6,0,3,,3,1,0,2,,0,0,1
E07000145,Great Yarmouth,,,77,,41,,3,0,0,0,0,,1,33,0,0,0,4,,3,17,1,5,0,,3,1,0,2,,3,1,0,2,,1,0,3
