"Table  P2 - Number of households whose prevention duty ended by type of accommodation securedEngland, April to June 2022",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,,,Private rented sector,,,,,Social rented sector,,,,,Staying with family,Staying with friends,Owner-occupier,Other,Not known6
,,,,,,,,,,,,,,,,,,,Number of households
,,,Total number of households whose prevention duty ended with accommodation secured1,,Private rented sector,,,,,Social rented sector,,,,,Staying with family,Staying with friends,Owner-occupier,Other,Not known2
,,,,,Total PRS,Of which:,,,,Total SRS,Of which:,,,,,,,,
,,,,,,Self-contained,House in multiple occupation (HMO),Lodging (not with family or friends),,,Council tenancy,Registered Provider tenancy,Supported housing or hostel,,,,,,
E07000198,Staffordshire Moorlands,,14,,6,6,0,0,,7,0,6,1,,1,0,0,0,0
E07000243,Stevenage,,23,,6,6,0,0,,14,6,1,7,,3,0,0,0,0
E08000007,Stockport,,186,,34,33,0,1,,31,26,4,1,,88,28,0,2,3
E06000004,Stockton-on-Tees,,191,,56,54,0,2,,88,0,82,6,,23,6,3,2,13
E06000021,Stoke-on-Trent,,113,,26,24,2,0,,76,56,11,9,,5,0,1,5,0
E07000221,Stratford-on-Avon,,26,,7,5,2,0,,18,0,17,1,,0,0,0,1,0
E07000082,Stroud,,13,,10,9,0,1,,3,2,1,0,,0,0,0,0,0
E08000024,Sunderland,,44,,5,5,0,0,,35,2,21,12,,1,0,0,1,2
E07000214,Surrey Heath,,4,,1,1,0,0,,3,0,3,0,,0,0,0,0,0
E09000029,Sutton,,60,,34,32,2,0,,20,14,4,2,,4,1,0,1,0
E07000113,Swale,,77,,52,49,3,0,,16,0,15,1,,4,1,3,1,0
E06000030,Swindon,,42,,23,23,0,0,,12,4,2,6,,3,1,1,2,0
E08000008,Tameside,,68,,17,16,1,0,,32,0,14,18,,14,1,2,1,1
E07000199,Tamworth,,12,,5,3,2,0,,5,3,1,1,,2,0,0,0,0
E07000215,Tandridge,,22,,13,13,0,0,,5,4,0,1,,1,0,0,3,0
E07000045,Teignbridge,,59,,24,20,4,0,,24,2,19,3,,5,0,2,1,3
E06000020,Telford & Wrekin,,69,,11,10,1,0,,57,0,54,3,,0,0,0,0,1
E07000076,Tendring,,58,,44,44,0,0,,14,9,4,1,,0,0,0,0,0
E07000093,Test Valley,,27,,15,13,2,0,,7,0,5,2,,3,1,0,1,0
E07000083,Tewkesbury,,29,,10,9,1,0,,19,0,15,4,,0,0,0,0,0
E07000114,Thanet,,96,,79,76,3,0,,14,1,12,1,,1,2,0,0,0
E07000102,Three Rivers,,33,,10,8,2,0,,12,0,10,2,,9,1,0,1,0
E06000034,Thurrock,,30,,23,18,5,0,,2,2,0,0,,5,0,0,0,0
E07000115,Tonbridge & Malling,,22,,5,5,0,0,,11,0,11,0,,3,0,1,0,2
E06000027,Torbay,,36,,21,21,0,0,,9,0,5,4,,5,1,0,0,0
E07000046,Torridge,,26,,11,11,0,0,,15,1,9,5,,0,0,0,0,0
E09000030,Tower Hamlets,,65,,15,11,4,0,,38,11,25,2,,2,0,0,0,10
E08000009,Trafford,,67,,21,18,2,1,,30,0,19,11,,14,1,0,1,0
E07000116,Tunbridge Wells,,45,,20,16,4,0,,16,4,2,10,,4,5,0,0,0
E07000077,Uttlesford,,8,,4,4,0,0,,4,3,1,0,,0,0,0,0,0
E07000180,Vale of White Horse,,60,,16,8,4,4,,27,0,23,4,,12,3,0,2,0
E08000036,Wakefield,,173,,44,37,7,0,,116,0,112,4,,5,4,1,3,0
E08000030,Walsall,,51,,8,6,1,1,,38,4,28,6,,2,1,1,1,0
E09000031,Waltham Forest,,31,,22,19,3,0,,5,1,0,4,,4,0,0,0,0
E09000032,Wandsworth,,19,,11,10,1,0,,1,0,1,0,,5,2,0,0,0
E06000007,Warrington,,111,,18,17,1,0,,80,0,68,12,,6,0,5,2,0
E07000222,Warwick,,25,,4,4,0,0,,20,5,14,1,,1,0,0,0,0
E07000103,Watford,,26,,12,8,2,2,,3,0,3,0,,9,0,0,0,2
E07000216,Waverley,,24,,12,12,0,0,,8,6,2,0,,2,0,1,1,0
E07000065,Wealden,,40,,19,17,1,1,,20,9,11,0,,0,0,0,1,0
E07000241,Welwyn Hatfield,,60,,12,8,2,2,,37,11,4,22,,7,0,0,2,2
E06000037,West Berkshire,,27,,11,10,0,1,,16,0,11,5,,0,0,0,0,0
E07000047,West Devon,,26,,19,19,0,0,,6,0,6,0,,1,0,0,0,0
E07000127,West Lancashire,,10,,3,3,0,0,,7,6,1,0,,0,0,0,0,0
E07000142,West Lindsey,,52,,26,20,6,0,,24,1,23,0,,1,1,0,0,0
E06000062,West Northamptonshire,,54,,27,21,4,2,,20,10,8,2,,4,2,0,1,0
E07000181,West Oxfordshire,,12,,2,2,0,0,,9,0,7,2,,0,0,0,0,1
E07000245,West Suffolk,,16,,3,1,2,0,,13,3,7,3,,0,0,0,0,0
E09000033,Westminster,,61,,57,57,0,0,,3,0,1,2,,0,1,0,0,0
E08000010,Wigan,,81,,24,22,2,0,,54,39,13,2,,1,0,0,2,0
E06000054,Wiltshire,,123,,32,29,1,2,,74,3,41,30,,10,2,0,4,1
E07000094,Winchester,,40,,12,8,3,1,,25,6,17,2,,1,1,0,1,0
